account_id,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-12 02:20:38,4915900235504153,fraud_Friesen-Stamm,gas_transport,65.75,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_785f6a80-a26e-456c-a871-82fd1dfe2529,1710210038,39.229137,-75.653941,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-12 04:21:14,4915900235504153,"fraud_Wintheiser, Dietrich and Schimmel",misc_pos,7.59,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_a4af65b7-4509-44a0-926d-46ccc91f53b4,1710217274,41.837282,-81.76084,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-12 05:26:54,4915900235504153,fraud_Corwin-Collins,gas_transport,57.04,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_4a49329a-ee60-413a-8288-830b021bd6e3,1710221214,39.836087,-80.50940899999999,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-12 06:27:31,4915900235504153,fraud_Eichmann-Russel,misc_pos,74.75,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_1a90101e-3dc7-4dea-be7d-3ea073094cff,1710224851,42.366823,-88.642138,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-12 08:50:22,4915900235504153,fraud_Wilkinson Ltd,entertainment,67.49,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_081a404d-59c1-4e4e-b492-2c16917dfa75,1710233422,44.987531,-103.673625,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-12 14:35:10,4915900235504153,fraud_Cartwright-Harris,grocery_pos,51.12,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_969a72ab-297e-491a-aaed-2701bd69bc23,1710254110,43.981354,-68.985584,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-12 17:06:04,4915900235504153,fraud_Quitzon-Goyette,home,30.65,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_1db0a797-fc97-4038-97fd-93dd4c806815,1710263164,40.470229,-93.627994,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-12 22:22:27,4915900235504153,"fraud_Schroeder, Hauck and Treutel",entertainment,125.23,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_b41f57dd-ad12-47c1-b354-5132e601bd3b,1710282147,36.271687,-83.09578,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-13 03:17:51,4915900235504153,"fraud_Boehm, Predovic and Reinger",misc_pos,50.66,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_8c233641-353a-4aa4-84c6-7d6fa8907dac,1710299871,36.677259,-98.334725,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-13 08:41:40,4915900235504153,fraud_Wilkinson LLC,personal_care,13.86,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_af48fd79-0c22-40c6-930f-9c4000c4d3fa,1710319300,32.818966,-95.331923,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-13 11:21:03,4915900235504153,"fraud_Schaefer, Maggio and Daugherty",gas_transport,51.89,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_89884786-9d56-4b1b-a4c9-bd79f7d22429,1710328863,44.438558,-98.338736,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-13 14:00:03,4915900235504153,"fraud_Reichert, Shanahan and Hayes",shopping_net,1.43,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_8c54967f-75c8-4abf-92a6-8734a4d3e9a0,1710338403,41.417755,-74.036963,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-13 14:35:27,4915900235504153,fraud_Daugherty LLC,kids_pets,31.8,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_5acd9070-3d08-4294-9554-1cfd0c867e16,1710340527,44.026976,-87.540564,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-13 14:58:12,4915900235504153,"fraud_Zboncak, Rowe and Murazik",shopping_net,2.58,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_f7f9bd03-63d1-42e4-a697-8a900535fb14,1710341892,39.743347,-90.054147,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-13 15:49:09,4915900235504153,fraud_Rau-Robel,kids_pets,253.89,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_d0ebd2ac-2eb5-4d72-a3b3-2d15e521a365,1710344949,34.315054,-112.166197,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-13 21:02:14,4915900235504153,"fraud_Pouros, Walker and Spencer",kids_pets,100.04,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_91dfbc04-6e4a-4af5-a6bd-2000c6a00d6c,1710363734,33.144561,-80.946058,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-13 22:25:13,4915900235504153,fraud_Kutch-Ferry,home,34.55,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_6a951eef-050f-4002-8f0d-bb5b48cab775,1710368713,45.103732,-86.299289,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-13 23:58:26,4915900235504153,fraud_Stark-Koss,home,15.23,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_bffdf4a1-05ca-45bf-ae1b-de0d139012b2,1710374306,36.276398,-91.82111,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-14 00:37:48,4915900235504153,fraud_Prohaska-Murray,gas_transport,68.54,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_15cb770d-4e27-4601-8ab8-4aa450af9245,1710376668,42.599578,-75.56914599999999,0
56c9eb2d-774a-41e5-b734-94dfcf819405,2024-03-14 02:33:34,4915900235504153,fraud_Rempel PLC,grocery_net,48.81,Lisa,Kim,F,FPO AP 67551,MS,63648,-34.775846,57.965553,791092,Tourist information centre manager,2004-08-17,sim_b3b45a74-81c8-44ea-8da2-19f5fa2fa0c2,1710383614,44.686762,-103.891185,0
