account_id,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,trans_ts,rule_flags
428b796c-9983-420f-ad54-c6eafbab7178,2024-08-08 08:20:46,4604203678991342,"fraud_Raynor, Reinger and Hagenes",gas_transport,64.36,Kevin,Williams,M,North Deborah,MH,5007,-36.5336185,-92.321758,1121209,Chartered legal executive (England and Wales),1952-05-18,sim_15e1a75a-96fb-4b1c-a1ec-65ee35fea12c,1723101646,43.545831,-97.107881,0,2024-08-08 08:20:46,['RULE_VIOLATION:LOCATION_FAR_FROM_HOME (8881km > 500km)']
428b796c-9983-420f-ad54-c6eafbab7178,2024-08-08 10:30:20,4604203678991342,fraud_Hackett Group,travel,6.64,Kevin,Williams,M,North Deborah,MH,5007,-36.5336185,-92.321758,1121209,Chartered legal executive (England and Wales),1952-05-18,sim_3b7d6dc1-914b-430f-95f7-fb2683ff40f7,1723109420,39.086685,-90.979476,0,2024-08-08 10:30:20,['RULE_VIOLATION:LOCATION_FAR_FROM_HOME (8374km > 500km)']
428b796c-9983-420f-ad54-c6eafbab7178,2024-08-08 11:09:31,4604203678991342,fraud_Friesen-D'Amore,gas_transport,61.21,Kevin,Williams,M,North Deborah,MH,5007,-36.5336185,-92.321758,1121209,Chartered legal executive (England and Wales),1952-05-18,sim_a611bc4d-3087-48cc-95f2-76351ee9c9d7,1723111771,32.217185,-106.770148,0,2024-08-08 11:09:31,['RULE_VIOLATION:LOCATION_FAR_FROM_HOME (7758km > 500km)']
428b796c-9983-420f-ad54-c6eafbab7178,2024-08-08 13:25:54,4604203678991342,"fraud_Hills, Hegmann and Schaefer",health_fitness,77.24,Kevin,Williams,M,North Deborah,MH,5007,-36.5336185,-92.321758,1121209,Chartered legal executive (England and Wales),1952-05-18,sim_ac668a07-7c23-4e7b-a610-400b8c9276ea,1723119954,40.705382,-78.527578,0,2024-08-08 13:25:54,['RULE_VIOLATION:LOCATION_FAR_FROM_HOME (8668km > 500km)']
428b796c-9983-420f-ad54-c6eafbab7178,2024-08-08 13:47:04,4604203678991342,"fraud_Koss, Hansen and Lueilwitz",home,87.17,Kevin,Williams,M,North Deborah,MH,5007,-36.5336185,-92.321758,1121209,Chartered legal executive (England and Wales),1952-05-18,sim_01aa10e8-3454-4110-9807-2b582e11c0f7,1723121224,38.58518,-82.378238,0,2024-08-08 13:47:04,['RULE_VIOLATION:LOCATION_FAR_FROM_HOME (8380km > 500km)']
428b796c-9983-420f-ad54-c6eafbab7178,2024-08-08 15:31:33,4604203678991342,"fraud_Welch, Rath and Koepp",entertainment,48.06,Kevin,Williams,M,North Deborah,MH,5007,-36.5336185,-92.321758,1121209,Chartered legal executive (England and Wales),1952-05-18,sim_792bbd03-3568-4e45-89e7-4ba362e5e399,1723127493,46.180711,-88.976747,0,2024-08-08 15:31:33,"['RULE_VIOLATION:LOCATION_FAR_FROM_HOME (9167km > 500km)', 'RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (6 trans in 24h > 5)']"
428b796c-9983-420f-ad54-c6eafbab7178,2024-08-08 20:30:49,4604203678991342,"fraud_Koss, McLaughlin and Mayer",food_dining,68.31,Kevin,Williams,M,North Deborah,MH,5007,-36.5336185,-92.321758,1121209,Chartered legal executive (England and Wales),1952-05-18,sim_ce7b34df-156e-45f1-85b9-be887d688b07,1723145449,40.027058,-124.794036,0,2024-08-08 20:30:49,"['RULE_VIOLATION:LOCATION_FAR_FROM_HOME (9105km > 500km)', 'RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (7 trans in 24h > 5)']"
428b796c-9983-420f-ad54-c6eafbab7178,2024-08-08 20:42:53,4604203678991342,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,96.99,Kevin,Williams,M,North Deborah,MH,5007,-36.5336185,-92.321758,1121209,Chartered legal executive (England and Wales),1952-05-18,sim_4ea3f17a-1fc9-4f75-a38e-bac2f00bbe88,1723146173,39.978213,-82.745683,0,2024-08-08 20:42:53,"['RULE_VIOLATION:LOCATION_FAR_FROM_HOME (8528km > 500km)', 'RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5)']"
428b796c-9983-420f-ad54-c6eafbab7178,2024-08-08 22:40:00,4604203678991342,fraud_Schimmel-Olson,kids_pets,82.53,Kevin,Williams,M,North Deborah,MH,5007,-36.5336185,-92.321758,1121209,Chartered legal executive (England and Wales),1952-05-18,sim_a3dac4ac-ccf9-4a12-8a0e-8dc1cd5c0bf4,1723153200,42.014708,-71.713011,0,2024-08-08 22:40:00,"['RULE_VIOLATION:LOCATION_FAR_FROM_HOME (8947km > 500km)', 'RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (9 trans in 24h > 5)']"
428b796c-9983-420f-ad54-c6eafbab7178,2024-08-08 22:58:31,4604203678991342,fraud_Friesen-Ortiz,personal_care,57.78,Kevin,Williams,M,North Deborah,MH,5007,-36.5336185,-92.321758,1121209,Chartered legal executive (England and Wales),1952-05-18,sim_0eed4e4b-4184-4b6c-bd95-83e63f07c9fb,1723154311,39.278852,-119.566556,0,2024-08-08 22:58:31,"['RULE_VIOLATION:LOCATION_FAR_FROM_HOME (8847km > 500km)', 'RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (10 trans in 24h > 5)']"
